material_id,formula_pretty,band_gap,MagpieData mean MendeleevNumber,MagpieData range MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mean Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean CovalentRadius,MagpieData range CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mean NsValence,MagpieData range NsValence,MagpieData avg_dev NsValence,MagpieData mean NpValence,MagpieData range NpValence,MagpieData avg_dev NpValence,MagpieData mean NdValence,MagpieData range NdValence,MagpieData avg_dev NdValence,MagpieData mean NfValence,MagpieData range NfValence,MagpieData avg_dev NfValence,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,max ionic char,avg ionic char,band center
mp-32244,LiNbWO6,2.4684,69.0,86.0,24.0,2.842222222222222,2.46,0.7970370370370371,94.44444444444444,98.0,37.92592592592593,1.7777777777777777,1.0,0.34567901234567905,2.6666666666666665,4.0,1.7777777777777777,0.8888888888888888,4.0,1.382716049382716,1.5555555555555556,14.0,2.765432098765432,1.7777777777777777,2.6666666666666665,0.8888888888888888,1.5555555555555556,0.25806451612903225,0.3870967741935483,0.12903225806451613,0.22580645161290322,0.7797297329475583,0.1262607431031019,5.945884971875898
mp-1176885,Li7Fe6(SiO4)6,1.9923000000000002,67.27906976744185,86.0,25.005949161709037,2.6,2.46,0.9376744186046512,91.5813953488372,66.0,28.555976203353165,1.8372093023255813,1.0,0.2725797728501893,2.511627906976744,4.0,1.6614386154678205,0.8372093023255814,6.0,1.4407787993510006,0.0,0.0,0.0,1.8372093023255813,2.511627906976744,0.8372093023255814,0.0,0.3542600896860986,0.48430493273542596,0.16143497757847533,0.0,0.7797297329475583,0.15093236451186962,5.580040765251568
mp-28536,BaSe2O5,3.3889,77.75,80.0,17.1875,2.8987499999999997,2.55,0.6765625000000001,98.125,149.0,40.15625,2.0,0.0,0.0,3.5,4.0,0.875,2.5,10.0,3.75,0.0,0.0,0.0,2.0,3.5,2.5,0.0,0.25,0.4375,0.3125,0.0,0.8032113561415081,0.1063797988533623,6.227569347988422
mp-31116,LaScO3,3.8973,57.0,76.0,36.0,2.556,2.34,1.0608,115.0,141.0,58.8,2.0,0.0,0.0,2.4,4.0,1.9200000000000004,0.4,1.0,0.4800000000000001,0.0,0.0,0.0,2.0,2.4,0.4,0.0,0.4166666666666667,0.5,0.08333333333333334,0.0,0.7456133690005962,0.16945761125276826,5.352661978983881
mp-758913,Li17(Co4O9)2,0.9383,47.604651162790695,86.0,36.85018929150892,2.1772093023255814,2.46,1.0572201189832342,101.67441860465117,62.0,29.86695511087074,1.6046511627906976,1.0,0.4780962682531098,1.6744186046511629,4.0,1.9469983775013522,1.302325581395349,7.0,2.1200648999459166,0.0,0.0,0.0,1.6046511627906976,1.6744186046511629,1.302325581395349,0.0,0.350253807106599,0.36548223350253806,0.28426395939086296,0.0,0.7797297329475583,0.1780206183114007,4.7149391590835386
mp-1366217,CaTeO3,2.895,71.6,83.0,25.840000000000003,2.684,2.44,0.9071999999999999,102.4,110.0,43.68,2.0,0.0,0.0,3.2,4.0,1.2799999999999998,2.0,10.0,3.2,0.0,0.0,0.0,2.0,3.2,2.0,0.0,0.2777777777777778,0.4444444444444445,0.2777777777777778,0.0,0.7742664595807831,0.1467536441999272,5.91210404475128
mp-2241282,MgMn3VO8,0.7370999999999991,74.3076923076923,41.0,15.62130177514793,2.7007692307692306,2.13,0.9098224852071005,95.3076923076923,87.0,36.07100591715976,2.0,0.0,0.0,2.4615384615384617,4.0,1.893491124260355,1.3846153846153846,5.0,1.9171597633136095,0.0,0.0,0.0,2.0,2.4615384615384617,1.3846153846153846,0.0,0.34210526315789475,0.4210526315789474,0.2368421052631579,0.0,0.6783286799695526,0.14288006723989347,5.746862341884682
mp-1034404,Mg14VCdO16,3.0265,76.875,41.0,10.125,2.396875,2.13,1.0431249999999999,103.96875,87.0,37.96875,2.0,0.0,0.0,2.0,4.0,2.0,0.40625,10.0,0.76171875,0.0,0.0,0.0,2.0,2.0,0.40625,0.0,0.45390070921985815,0.45390070921985815,0.09219858156028368,0.0,0.6783286799695526,0.16631083011658007,5.387790070120662
mp-1223117,La8Te3SeO8,2.066199999999999,57.95,77.0,35.96,2.2585,2.34,0.9743499999999999,135.9,141.0,57.50999999999999,2.0,0.0,0.0,2.4,4.0,1.9200000000000004,2.4,10.0,3.04,0.0,0.0,0.0,2.0,2.4,2.4,0.0,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.0,0.7456133690005962,0.16640983111864555,4.936154180144347
mp-1200758,Ba3V2(SeO4)4,2.6965,74.68,80.0,20.351999999999997,2.8468,2.55,0.759296,99.48,149.0,42.854400000000005,2.0,0.0,0.0,3.2,4.0,1.2799999999999998,1.84,10.0,2.7968,0.0,0.0,0.0,2.0,3.2,1.84,0.0,0.2840909090909091,0.4545454545454546,0.26136363636363635,0.0,0.8032113561415081,0.12193925972837137,6.0379903020638706
